Year,Race,No,Driver,Car,Pos (race),Points,Pos (qualifying),AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed,Name
2022,Bahrain,16,1.7,1.6,1,26,1,23.62,29.49,1010.39,0,28.61,124.43,0.3,Charles Leclerc LEC
2022,Bahrain,10,1.4,1.0,20,0,10,23.62,29.49,1010.39,0,28.61,124.43,0.3,Pierre Gasly GAS
2022,Bahrain,1,2.1,1.8,19,0,2,23.62,29.49,1010.39,0,28.61,124.43,0.3,Max Verstappen VER
2022,Bahrain,11,1.3,1.8,18,0,4,23.62,29.49,1010.39,0,28.61,124.43,0.3,Sergio Perez PER
2022,Bahrain,27,1.1,1.9,17,0,17,23.62,29.49,1010.39,0,28.61,124.43,0.3,Nico Hulkenberg HUL
2022,Bahrain,4,1.6,1.9,15,0,13,23.62,29.49,1010.39,0,28.61,124.43,0.3,Lando Norris NOR
2022,Bahrain,3,1.0,1.9,14,0,18,23.62,29.49,1010.39,0,28.61,124.43,0.3,Daniel Ricciardo RIC
2022,Bahrain,23,1.2,1.9,13,0,14,23.62,29.49,1010.39,0,28.61,124.43,0.3,Alexander Albon ALB
2022,Bahrain,18,1.0,1.9,12,0,19,23.62,29.49,1010.39,0,28.61,124.43,0.3,Lance Stroll STR
2022,Bahrain,24,0.9,1.6,10,1,15,23.62,29.49,1010.39,0,28.61,124.43,0.3,Zhou Guanyu ZHO
2022,Bahrain,14,1.2,1.2,9,2,8,23.62,29.49,1010.39,0,28.61,124.43,0.3,Fernando Alonso ALO
2022,Bahrain,22,1.0,1.0,8,4,16,23.62,29.49,1010.39,0,28.61,124.43,0.3,Yuki Tsunoda TSU
2022,Bahrain,31,1.4,1.2,7,6,11,23.62,29.49,1010.39,0,28.61,124.43,0.3,Esteban Ocon OCO
2022,Bahrain,77,1.5,1.6,6,8,6,23.62,29.49,1010.39,0,28.61,124.43,0.3,Valtteri Bottas BOT
2022,Bahrain,20,1.0,1.6,5,10,7,23.62,29.49,1010.39,0,28.61,124.43,0.3,Kevin Magnussen MAG
2022,Bahrain,63,1.8,1.9,4,12,9,23.62,29.49,1010.39,0,28.61,124.43,0.3,George Russell RUS
2022,Bahrain,44,2.2,1.9,3,15,5,23.62,29.49,1010.39,0,28.61,124.43,0.3,Lewis Hamilton HAM
2022,Bahrain,55,1.6,1.6,2,18,3,23.62,29.49,1010.39,0,28.61,124.43,0.3,Carlos Sainz SAI
2022,Saudi Arabia,27,1.1,1.9,12,0,18,25.42,59.66,1012.78,0,28.41,304.51,2.36,Nico Hulkenberg HUL
2022,Saudi Arabia,18,1.0,1.9,13,0,15,25.42,59.66,1012.78,0,28.41,304.51,2.36,Lance Stroll STR
2022,Saudi Arabia,22,1.0,1.0,15,0,20,25.42,59.66,1012.78,0,28.41,304.51,2.36,Yuki Tsunoda TSU
2022,Saudi Arabia,31,1.4,1.2,6,8,5,25.42,59.66,1012.78,0,28.41,304.51,2.36,Esteban Ocon OCO
2022,Saudi Arabia,63,1.8,1.9,5,10,6,25.42,59.66,1012.78,0,28.41,304.51,2.36,George Russell RUS
2022,Saudi Arabia,11,1.3,1.8,4,12,1,25.42,59.66,1012.78,0,28.41,304.51,2.36,Sergio Perez PER
